,address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
1474,"Rikkisum,Kalimpong  Lava road,Village Pakthang East,PS and Sub Division Kalimpong,",Lava Road,Rikkisum,100,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Airport Transfer Available / Surcharge|Bar / Lounge |Doctor on Call|Pets Allowed|Front Desk|24 Hour Front Desk|Kitchen available (home cook food on request),27.08449095,Lava Road,88.52328194,HTLGBO1000011370,The Sana Home Stay,Guest House,Rikkisum,7,Deluxe Double Room,1,5.0,West Bengal,b1cd84bd72500960cce041bca240bf94
2210,"E-2 MANSAROVER GARDEN,FIRST FLOOR  NEAR RING ROAD, MARBLE MARKET RAJOURI GARDEN NEW DELHI",Rajouri Garden,Delhi,77,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Cancellation possible after 24 hour of booking   1. All guests requested to carry Valid ID proof for Check Inn. 2. Couple Guests with Local ID's are not allowed to check inn. 3. Cancellation and prepayment policies vary according to room type.,Airport Transfer Available / Surcharge|Business Center |Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Non Smoking Hotel|Air-Conditioning - Central|Welcome Drinks|Power Backup|Wake-up Call / Service|Conference Facility |Free Local Calls|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services| Drivers Rest Room|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Air / Rail Booking|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|CCTV|Paid Transfers|Speciality Restaurant,28.5741278,Rajouri Garden,77.1609347,HTLGBO1000006175,West Inn,Hotel,Delhi,11,Super Deluxe Room,31,3.9,Delhi,9d4618983eb410665fefc4b6fc1b2132
999,"Tin Batti More, Siliguri Bazar, Siliguri",Others,Siliguri,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly for one day 100% advance for more than one day 50% advance,Parking Facilities Available|24 Hour Front Desk|Express Check-In / Check-Out|Extra Person / Child - Share the same room|Parking (Surcharge)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,26.7083818,Others,88.4268741,HTLGBO1000054740,Hotel Park Heaven,Hotel,Siliguri,23,Ac Classic,1,3.6,West Bengal,958d623ce522ea6a936e22ea810edf00
2201,"Madhla Vaddo, Opp Nanu Wines, Morjim",Other North Goa Beaches,Goa,87,The standard check-in time is 01:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Photo IDs required for all the room occupants at the time of check in.,"Swimming Pool|Airport Transfer Available / Surcharge|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Bike on Rent|Village Visit ( Chargeable )|Car Rental|Taxi Services|Baggage Room|Guide / Sightseeing Service|Outdoor Parking - Non Secured|Parking Facility|Internet Access|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Paid Transfers|Public Restrooms",15.629444,Other North Goa Beaches,73.735833,HTLGBO1000025368,Wanderers Hostel,Hostel,Goa,65,Standard 6 Bed Mixed Dormitory,16,4.4,Goa,debf0479835d199e2383be188687ee9e
1825,"546/1 kolhapur road, near ST stand, Sangli, 416416 Maharashtra",S T Stand Road,Sangli,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Dry Cleaning|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Veranda|Express Laundry|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days,16.8521,S T Stand Road,74.5727,HTLGBO1000082490,Hotel Sai Deluxe,Hotel,Sangli,37,Non A/C triple bed,2,3.0,Maharashtra,e17b24488f536e404cd59f1c139470e0
949,"Railway Road,  Near Ghanta Ghar, Ghaziabad, Uttar Pradesh - 201001",Others,Ghaziabad,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service,28.65889525,Others,77.42753652,HTLGBO1000039038,Hotel Rainbow,Hotel,Ghaziabad,48,Deluxe Room,15,3.9,Uttar Pradesh,1baed0d28bca448d33c52cda7ed42eac
1695,"7A/10, Channa Market, West Extension Area, Karol Bagh, New Delhi, Delhi 110005",Karol Bagh Area,Delhi,85,"The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Photo ID (Driver's License, Voters Card, Passport) required at the time of check-in. Hotel reserves right to admission. This may include cases such as denial of admission to local residents, and to unmarried, unrelated couples, among others.",Laundry Service Available|Lift / Elevator|Front Desk|Power Backup|Internet Access Free|Room Service (24 Hours)|Internet Access,28.6468374,Karol Bagh Area,77.1845518,HTLGBO1000038552,Treebo Olive Inn,Hotel,Delhi,15,Standard Room,21,4.1,Delhi,e9943d213903c40baf678fe513999d2a
919,"M.S Towers, #39 and 40 Lady Curzon Road (Next to L and T)",City Center - Mg Road / Near,Bangalore,25,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel,Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Air-Conditioning - Central|Power Backup|Fitness Equipment|Open Air Restaurant / Dining |Car Rental,12.9821666,City Center - Mg Road / Near,77.6033092,HTLGBO1000006816,Curzon Suites,BnB,Bangalore,15,Executive Room,4,3.3,Karnataka,8d62f94c42ccfda343f53c1d43e97ee6
310,"Deejay By One Earth Dhaliara, Near Heritage Village Pragpur, NH 503, Dharamshala Road, District Kangra, Himachal Pradesh - 177103",Pragpur,Kangra,76,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Pets are not allowed.,Airport Transfer Available / Surcharge|Ballroom|Banquet Facilities|Bar / Lounge |Billiards|Business Center |Concierge|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Games Zone|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Table Tennis|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Audio - Visual Equipment|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|Disabled Friendly Rooms|Fax Machine|Kitchen available (home cook food on request)|Fire Place Available |Picnic Area|Wheelchair Accessibility - Room|Pool Table|Nature Walk|Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Kids Play Zone|Taxi Services|Board Room|City Shuttle Service|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Electronic Check-Out|Children's Park|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|Fishing|Trekking|Fire Safety|Recreation Zone|Anti-Slip Ramps|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Paid Transfers|Pest Control Facility|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Speciality Restaurant,31.8338883,Pragpur,76.17730099,HTLGBO1000005068,Deejay By One Earth,Hotel,Kangra,10,Deluxe Room,21,4.1,Himachal Pradesh,805368154f4373fc46d6da8d19848df8
2277,"41, Bansal Nagar, Fatehabad Road",Fatehabad Road,Agra,52,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Luggage Storage|Room Service (24 Hours),27.1618866,Fatehabad Road,78.036975,HTLGBO1000006138,Viren Sofitel,Hotel,Agra,17,Double bed Non Ac Room,23,2.3,Uttar Pradesh,7073680b332e56fa248e11b19c8f6367
